model,accuracy,precision,recall,f1_score,train_time_s
logistic_regression,0.9333,0.9333,0.9333,0.9333,0.003
decision_tree,0.9333,0.9333,0.9333,0.9333,0.0009
random_forest,0.9,0.9024,0.9,0.8997,0.1058
gradient_boosting,0.9667,0.9697,0.9667,0.9666,0.1869
svm,0.9667,0.9697,0.9667,0.9666,0.0017
knn,0.9333,0.9444,0.9333,0.9327,0.0004
naive_bayes,0.9667,0.9697,0.9667,0.9666,0.0006
